高管姓名,性别,年龄,股票代码,职位
江永,男,52,002627,董事长,董事
李志江,男,61,002654,董事长,董事
王俊民,男,50,002653,董事长,董事
刘建武,男,53,002673,董事长,董事
刘韧,男,51,002672,董事长,执行董事
刘长杰,男,59,002671,董事长,董事
杜力,男,38,002670,董事长,董事
姚其胜,男,44,002669,董事长,董事
赵国栋,男,39,002668,董事长,董事
滕用庄,男,40,002702,董事长,董事
周云杰,男,57,002701,董事长,董事
李勇,男,48,002719,董事长,董事
时沈祥,男,55,002718,董事长,董事
尹洪卫,男,53,002717,董事长,董事
张弢,男,75,002715,董事长,董事
秦英林,男,53,002714,董事长,董事
陈辉,男,51,002713,董事长,董事
孙清焕,男,45,002745,董事长,董事
杨俊斌,男,58,002743,董事长,董事
刘凤喜,男,46,200016,董事局主席,董事
陈琳,女,46,200012,董事长,董事
刘声向,男,47,200011,董事长,董事
李希,男,50,002923,董事长,董事
肖俊承,男,52,002922,董事长,董事
郭元强,男,52,002921,董事长,董事
黄勇峰,男,44,200026,董事长,董事
吕航,男,57,200025,董事长,董事
史新昆,男,54,200570,董事长,董事
杨兴强,男,51,200553,董事长,董事
邱天高,男,52,200550,董事长,董事
何勇,男,58,200541,董事长,董事
王进,男,55,200539,董事长,董事
纪志坚,男,51,200530,董事长,董事
邱宇,男,50,300006,董事长,董事
王静,女,43,300005,董事长,董事
艾磊,男,46,300034,董事长,董事
易峥,男,48,300033,董事长,董事
黄磊,男,30,300032,董事长,董事
包志方,男,58,300031,董事长,董事
邓冠华,男,52,300030,董事长,董事
孙利,女,45,300029,董事长,董事
赵文权,男,48,300058,董事长,董事
杜成城,男,52,300057,董事长,董事
吴强华,男,49,300075,董事长,董事
刘焱,女,76,300074,董事长,董事
夏晓鸥,男,61,300073,董事长,董事
刘雷,男,51,300072,董事长,董事
黄小川,男,52,300071,董事长,董事
文剑平,男,56,300070,董事长,董事
黄自伟,男,72,300099,董事长,董事
刘双广,男,53,300098,董事长,董事
董树林,男,64,300120,董事长,董事
李守军,男,55,300119,董事长,董事
林海峰,男,43,300118,董事长,董事
田新甲,男,34,300117,董事长,董事
郭鸿宝,男,49,300116,董事长,董事
陈奇星,男,59,300115,董事长,董事
肖志鸿,男,64,300148,董事长,董事
王永辉,男,56,300147,董事长,董事
张林,男,31,300176,董事长,董事
戚大广,男,65,300175,董事长,董事
许文显,男,41,300174,董事长,董事
王政福,男,52,300172,董事长,董事
郑效东,男,54,300171,董事长,董事
郭景松,男,56,300173,董事长,董事
李莉,女,47,300195,董事长,董事
汪天祥,男,62,300194,董事长,董事
李国平,男,45,300219,董事长,董事
姚和平,男,56,300218,董事长,董事
谭荣生,男,74,300217,董事长,董事
刘祥华,男,55,300216,董事长,董事
胡德霖,男,67,300215,董事长,董事
赵东日,男,54,300214,董事长,董事
陆文雄,男,51,300245,董事长,董事
陈海斌,男,49,300244,董事长,董事
石旭刚,男,50,300270,董事长,董事
刘虎军,男,48,300269,董事长,董事
汤捷,男,44,300268,董事长,董事
帅放文,男,52,300267,董事长,董事
周立武,男,55,300266,董事长,董事
项坚,男,47,300300,董事长,董事
缪品章,男,53,300299,董事长,董事
李少波,男,53,300298,董事长,董事
陈林森,男,57,300331,董事长,董事
项翔,男,45,300330,董事长,董事
傅启明,男,60,300327,董事长,董事
秦杰,男,54,300326,董事长,董事
周建明,男,54,300325,董事长,董事
胡赓熙,男,54,300357,董事长,董事
龙昌明,男,52,300356,董事长,董事
王召明,男,49,300355,董事长,董事
刘迪,女,57,300384,董事长,董事
耿殿根,男,62,300383,董事长,董事
安旭,男,55,300382,董事长,董事
陈少美,男,56,300381,董事长,董事
高勇,男,45,300380,董事长,董事
